,frame,x,x (cm),time (s)
0,0,0.19470215,44.14277529873201,0.0
1,1,0.19592285,44.14277529873201,0.03333333333333333
2,2,0.19763184,44.14277529873201,0.06666666666666667
3,3,0.20141602,44.14277529873201,0.1
4,4,0.20129395,44.51125743982292,0.13333333333333333
5,5,0.20251465,44.87973958091383,0.16666666666666666
6,6,0.2019043,45.118570432657705,0.2
8,8,0.20300293,45.207278827105135,0.26666666666666666
10,10,0.20544434,45.43928595619921,0.3333333333333333
11,11,0.20495605,45.575760409195254,0.36666666666666664
12,12,0.20593262,45.80094381563953,0.4
13,13,0.20654297,45.99883233148458,0.43333333333333335
14,14,0.2055664,46.005655495133595,0.4666666666666667
16,16,0.20690918,46.114835616531224,0.5333333333333333
17,17,0.20703125,46.176249120379445,0.5666666666666667
18,18,0.20666504,46.18307284302925,0.6
20,20,0.20568848,46.18989712467984,0.6666666666666666
21,21,0.20715332,46.20354456997944,0.7
22,22,0.20825195,46.27178179647746,0.7333333333333333
23,23,0.19689941,45.725882307490906,0.7666666666666667
24,24,0.20898438,45.91012337803636,0.8
25,25,0.20910645,46.01930349943398,0.8333333333333334
26,26,0.20996094,46.11483617553201,0.8666666666666667
28,28,0.20080566,46.33319585932648,0.9333333333333333
29,29,0.20153809,45.91694765968695,0.9666666666666667
30,30,0.1953125,45.145864764256125,1.0
32,32,0.1854248,43.77429259864031,1.0666666666666667
33,33,0.16503906,41.7749368312411,1.1
34,34,0.15673827,39.27062335175336,1.1333333333333333
35,35,0.14587401,36.50700785257233,1.1666666666666667
36,36,0.14025877,33.98222320513518,1.2
37,37,0.13964842,32.562884421969954,1.2333333333333334
38,38,0.13842772,31.53932322949565,1.2666666666666666
39,39,0.14111327,31.273197487152565,1.3
40,40,0.14562987,31.573442401745453,1.3333333333333333
41,41,0.1524658,32.28993495697707,1.3666666666666667
42,42,0.16101073,33.55232700119525,1.4
43,43,0.17297363,35.33332364380079,1.4333333333333333
44,44,0.17614746,37.03925933725849,1.4666666666666666
45,45,0.18847656,39.05226366795889,1.5
46,46,0.18981934,40.662667244319366,1.5333333333333334
47,47,0.19616699,41.95917790178656,1.5666666666666667
48,48,0.1998291,43.28298344985296,1.6
51,55,0.19836426,43.835706661489326,1.8333333333333333
53,60,0.20617676,44.750087732566,2.0
55,62,0.20727539,45.37104817070039,2.066666666666667
56,63,0.20007324,45.384695615999995,2.1
57,64,0.20324707,45.65764508099288,2.1333333333333333
58,65,0.20336914,45.50069890104663,2.1666666666666665
60,67,0.20227051,45.22092571340395,2.2333333333333334
62,72,0.20422363,45.452932842498015,2.4
64,75,0.20214844,45.3915193386498,2.5
65,76,0.19848633,45.11856987365691,2.533333333333333
66,77,0.20263672,45.13904104160632,2.566666666666667
68,79,0.20776367,45.336929557451384,2.6333333333333333
71,82,0.20861816,45.6985874168917,2.7333333333333334
72,83,0.20410156,46.012479217783394,2.7666666666666666
75,87,0.20800781,46.31272357337549,2.9
76,88,0.20751953,46.29907612807588,2.933333333333333
78,90,0.2084961,46.29225296442687,3.0
79,97,0.20031738,46.0807170032822,3.2333333333333334
80,98,0.19824219,45.534818073296435,3.2666666666666666
81,99,0.19995117,45.11174615100711,3.3
82,100,0.20019531,44.64773133381818,3.3333333333333335
83,101,0.20922852,45.14586476425612,3.3666666666666667
84,102,0.20935059,45.76682520239051,3.4
87,105,0.1986084,45.69176425324268,3.5
88,106,0.19958496,45.65764563999367,3.533333333333333
89,107,0.19970703,45.125393596306715,3.566666666666667
92,110,0.20959473,45.13904104160632,3.6666666666666665
93,112,0.20983887,45.76682520239051,3.7333333333333334
97,130,0.19299316,45.3983430612996,4.333333333333333
98,131,0.17785645,44.176893911981026,4.366666666666666
99,136,0.19604492,43.4194584618498,4.533333333333333
100,138,0.1829834,41.91823556588774,4.6
101,139,0.18005371,41.19491928800632,4.633333333333334
102,140,0.17602539,41.092562889258495,4.666666666666667
103,141,0.16625977,39.42757064970118,4.7
104,142,0.16223145,38.26753500423082,4.733333333333333
105,150,0.12219238,35.03308208321265,5.0
106,151,0.12646484,32.2626434203826,5.033333333333333
107,152,0.125,29.956219015740707,5.066666666666666
108,153,0.11669922,27.41096375935494,5.1
109,154,0.122558594,27.43143515090466,5.133333333333334
110,155,0.123535156,27.26766558370909,5.166666666666667
111,156,0.119140625,26.94012605801739,5.2
112,157,0.12792969,27.56791021880158,5.233333333333333
113,158,0.12878418,27.91592096834276,5.266666666666667
114,159,0.13134766,28.352640559532013,5.3
115,160,0.1397705,29.505852202852168,5.333333333333333
116,161,0.14477538,30.44752760552727,5.366666666666666
117,162,0.16833496,32.65841933407115,5.4
118,163,0.18652344,35.74274979779288,5.433333333333334
119,164,0.20678711,39.488983594548614,5.466666666666667
120,165,0.23254395,44.39525359577549,5.5
121,166,0.24633789,48.75562354901501,5.533333333333333
122,167,0.2619629,52.97269532660869,5.566666666666666
123,168,0.27050778,56.5346858168158,5.6
124,169,0.28247067,59.32559341159208,5.633333333333334
125,170,0.2873535,61.618369252932794,5.666666666666667
126,171,0.29150388,63.26971237018813,5.7
127,172,0.2958984,64.68905003535177,5.733333333333333
128,173,0.29736325,65.52154643463082,5.766666666666667
129,174,0.29980466,66.21756726291224,5.8
130,175,0.3041992,66.92723665449485,5.833333333333333
131,176,0.30712888,67.55502137427983,5.866666666666666
132,177,0.30810544,68.15551064446481,5.9
133,178,0.30957028,68.7014095744506,5.933333333333334
134,179,0.31372067,69.23366050013595,5.966666666666667
135,181,0.3198242,69.94332989171856,6.033333333333333
136,182,0.32543945,70.91230242099604,6.066666666666666
137,183,0.32958984,72.03139740756995,6.1
138,184,0.33154297,73.02766538644742,6.133333333333334
139,185,0.33520508,73.88745779432728,6.166666666666667
141,187,0.3371582,74.54253684571067,6.233333333333333
142,188,0.33691406,74.95196132270038,6.266666666666667
143,189,0.34106445,75.48421280738656,6.3
144,190,0.3425293,75.89363728437627,6.333333333333333
145,191,0.34228516,76.18023475366955,6.366666666666666
146,192,0.34399414,76.57601178535967,6.4
150,196,0.34204102,76.63060212555888,6.533333333333333
151,197,0.3474121,76.90355103155099,6.566666666666666
152,198,0.34521484,77.06732037514624,6.6
153,199,0.34423828,77.08096782044585,6.633333333333334
154,200,0.34936523,77.49039173843478,6.666666666666667
155,201,0.34692383,77.46309740683635,6.7
157,203,0.34375,77.38121273503873,6.766666666666667
158,204,0.34643555,77.50404030173597,6.8
159,205,0.34570312,77.29932806324109,6.833333333333333
160,206,0.34545898,77.21744283244267,6.866666666666666
161,207,0.3466797,77.38121329403951,6.9
